               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088263,            0.029969,            0.050508,             0.76773,            0.043084,            0.016258,           0.0041847,            0.074099,            0.019263,            0.037028,            0.070278,           0.0033025,           0.0033025
                   1,            0.058595,            0.024926,            0.036605,             0.83161,             0.12702,            0.090568,            0.035468,            0.059778,             0.01592,            0.028339,             0.04009,           0.0064481,           0.0064481
                   2,            0.054023,             0.01918,            0.030841,             0.30288,             0.29603,             0.19611,             0.06472,            0.053164,            0.014357,            0.023694,           0.0097138,           0.0094052,           0.0094052
                   3,            0.047435,            0.015764,            0.026625,             0.38444,             0.41159,             0.26319,            0.097213,            0.054641,              0.0125,            0.021869,           0.0091514,           0.0091514,           0.0091514
                   4,            0.040059,            0.014526,            0.023046,             0.66313,             0.49395,             0.55097,             0.23009,            0.043596,            0.012179,            0.017653,           0.0091514,           0.0091514,           0.0091514
                   5,            0.036841,             0.01283,            0.019556,             0.39057,             0.65382,             0.57197,             0.26383,            0.039988,            0.012394,            0.015306,           0.0088686,           0.0088686,           0.0088686
                   6,            0.034354,            0.012659,            0.016906,             0.46544,             0.67644,              0.6051,             0.30472,            0.037773,            0.011607,            0.012673,           0.0085857,           0.0085857,           0.0085857
                   7,            0.033214,             0.01177,            0.015063,              0.4333,              0.7984,             0.57591,             0.21507,            0.041329,            0.011404,            0.013044,           0.0083029,           0.0083029,           0.0083029
                   8,            0.031462,            0.011509,            0.013188,              0.6178,             0.75505,             0.75415,             0.35078,            0.037762,            0.010569,            0.011528,             0.00802,             0.00802,             0.00802
                   9,            0.030075,            0.011486,            0.011344,             0.60791,             0.83564,             0.73902,             0.34516,            0.037358,            0.011294,           0.0092158,           0.0077371,           0.0077371,           0.0077371
                  10,            0.028841,            0.010585,            0.010236,             0.75626,             0.69954,             0.75166,             0.35634,             0.03904,            0.011165,           0.0098562,           0.0074543,           0.0074543,           0.0074543
                  11,            0.028515,            0.010725,            0.008501,              0.7203,             0.77224,             0.79264,             0.40918,            0.036607,            0.010972,            0.009367,           0.0071714,           0.0071714,           0.0071714
                  12,            0.026627,            0.010522,           0.0081868,             0.67379,             0.86993,             0.80436,             0.38657,            0.035193,            0.010541,            0.007543,           0.0068886,           0.0068886,           0.0068886
                  13,            0.026308,            0.010184,           0.0074346,             0.71649,             0.83808,             0.79369,             0.41203,            0.036367,            0.011217,            0.007773,           0.0066057,           0.0066057,           0.0066057
                  14,            0.025128,            0.010199,           0.0072091,             0.73623,                0.88,             0.83091,             0.39129,            0.036698,            0.011053,           0.0067156,           0.0063229,           0.0063229,           0.0063229
                  15,            0.024312,           0.0097481,           0.0060677,             0.79844,             0.85121,             0.83111,              0.4341,            0.035053,            0.010759,           0.0078615,             0.00604,             0.00604,             0.00604
                  16,            0.024271,           0.0099578,           0.0057379,             0.77764,             0.87709,             0.84354,             0.41682,             0.03725,            0.010785,           0.0066705,           0.0057571,           0.0057571,           0.0057571
                  17,            0.023508,           0.0095896,           0.0046798,             0.80755,             0.89145,             0.85594,             0.43311,            0.034262,            0.010906,           0.0073026,           0.0054743,           0.0054743,           0.0054743
                  18,            0.022777,           0.0092009,           0.0046994,             0.74135,              0.8566,              0.7977,             0.45181,            0.033696,             0.01053,           0.0063508,           0.0051914,           0.0051914,           0.0051914
                  19,               0.022,           0.0097163,           0.0044938,             0.78448,             0.90211,             0.84262,             0.45717,            0.033395,            0.010029,           0.0058088,           0.0049086,           0.0049086,           0.0049086
                  20,            0.022081,           0.0092879,           0.0041877,             0.80685,             0.89637,             0.87608,              0.4815,            0.032587,            0.010502,            0.006378,           0.0046257,           0.0046257,           0.0046257
                  21,            0.020859,           0.0090699,           0.0044096,             0.84399,             0.89864,             0.86877,             0.45019,             0.03364,            0.010169,           0.0061227,           0.0043429,           0.0043429,           0.0043429
                  22,             0.02052,           0.0089998,           0.0037177,             0.79861,             0.93124,             0.87865,             0.46661,            0.032638,            0.010285,           0.0048353,             0.00406,             0.00406,             0.00406
                  23,            0.020025,           0.0087803,           0.0033089,             0.78847,             0.88209,             0.84867,              0.4352,            0.032875,             0.01067,           0.0062808,           0.0037771,           0.0037771,           0.0037771
                  24,            0.018972,           0.0091573,           0.0034798,             0.82045,             0.90146,             0.84582,             0.45525,            0.032279,            0.010434,           0.0075674,           0.0034943,           0.0034943,           0.0034943
                  25,            0.018663,           0.0084265,           0.0032685,             0.83867,             0.91581,             0.88316,             0.48999,            0.032498,            0.010269,           0.0064756,           0.0032114,           0.0032114,           0.0032114
                  26,            0.018176,           0.0082484,            0.003178,             0.81561,             0.88417,             0.86152,             0.47899,            0.032126,           0.0099819,           0.0082931,           0.0029286,           0.0029286,           0.0029286
                  27,            0.017699,           0.0082104,           0.0029278,             0.76892,             0.92331,             0.85396,             0.48085,            0.031473,            0.009856,           0.0059093,           0.0026457,           0.0026457,           0.0026457
                  28,            0.016733,           0.0081076,           0.0032328,             0.82349,             0.91953,             0.87637,             0.49274,            0.031274,            0.010377,            0.007485,           0.0023629,           0.0023629,           0.0023629
                  29,            0.015997,            0.007578,           0.0027275,             0.78027,             0.90286,             0.86255,             0.48904,            0.032246,            0.010214,           0.0074298,             0.00208,             0.00208,             0.00208
                  30,            0.015561,           0.0075816,            0.002464,             0.80945,             0.87052,             0.84568,             0.50875,            0.031003,            0.010488,           0.0077694,           0.0017971,           0.0017971,           0.0017971
                  31,            0.015538,           0.0076039,             0.00248,             0.80526,             0.90179,             0.86222,             0.52464,            0.031181,            0.010018,           0.0069056,           0.0015143,           0.0015143,           0.0015143
                  32,            0.014588,           0.0074109,            0.002378,              0.8207,             0.92604,             0.88402,             0.51846,            0.031316,            0.010089,           0.0047677,           0.0012314,           0.0012314,           0.0012314
                  33,            0.014204,           0.0073227,           0.0018858,             0.80537,             0.90536,             0.86799,             0.53646,            0.030558,            0.010414,           0.0055027,          0.00094857,          0.00094857,          0.00094857
                  34,            0.013951,           0.0072316,           0.0018879,             0.83567,             0.90894,             0.87643,             0.52899,            0.030468,            0.010057,           0.0058135,          0.00066571,          0.00066571,          0.00066571
