               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10985,             0.05441,             0.08426,           0.0027007,            0.042731,           0.0035403,          0.00084308,            0.097823,            0.043713,            0.079339,              0.0829,              0.0019,              0.0019
                   1,            0.095245,            0.056701,             0.07421,             0.91302,            0.036963,             0.01944,           0.0056118,            0.085411,            0.041779,            0.065224,            0.064861,           0.0038614,           0.0038614
                   2,            0.086245,            0.049927,            0.059295,             0.80702,            0.034454,            0.020653,           0.0060605,            0.082032,            0.048034,            0.060409,            0.046783,           0.0057832,           0.0057832
                   3,            0.077408,            0.046525,            0.050376,             0.81165,            0.031667,            0.016424,            0.004972,            0.082479,            0.042704,            0.050879,            0.028665,           0.0076654,           0.0076654
                   4,            0.079761,            0.045301,            0.043642,               0.851,             0.12856,             0.11468,            0.040229,            0.079149,            0.034745,            0.044625,            0.010508,            0.009508,            0.009508
                   5,            0.076804,            0.040072,            0.037805,             0.85023,             0.12825,             0.10222,            0.027906,            0.078489,            0.034191,            0.038846,            0.009505,            0.009505,            0.009505
                   6,            0.068807,            0.041999,            0.035825,              0.8314,             0.18128,             0.13042,            0.043423,            0.070419,            0.034403,            0.036088,            0.009505,            0.009505,            0.009505
                   7,            0.065305,            0.038723,            0.031534,             0.87136,             0.16902,             0.16445,            0.052932,             0.06535,            0.032588,            0.033006,            0.009406,            0.009406,            0.009406
                   8,            0.060981,            0.039577,            0.029961,             0.91389,             0.17488,             0.24064,            0.091439,            0.063276,            0.031268,            0.031009,            0.009307,            0.009307,            0.009307
                   9,            0.059949,            0.035647,            0.030344,             0.80682,             0.26448,             0.26903,             0.11819,            0.054221,            0.028045,            0.029151,            0.009208,            0.009208,            0.009208
                  10,            0.055442,            0.033355,            0.027846,             0.76244,             0.26817,             0.24187,            0.091718,             0.05736,            0.026757,            0.027839,            0.009109,            0.009109,            0.009109
                  11,            0.055085,            0.035123,            0.027263,             0.74057,              0.3249,             0.41541,             0.18381,            0.048047,            0.026811,             0.02691,             0.00901,             0.00901,             0.00901
                  12,            0.052578,             0.03649,            0.024899,             0.57366,             0.40009,             0.41361,             0.18667,            0.049533,            0.026308,               0.026,            0.008911,            0.008911,            0.008911
                  13,            0.051286,            0.034741,            0.024042,             0.61407,             0.40786,             0.37588,             0.17061,            0.048513,            0.026279,            0.025706,            0.008812,            0.008812,            0.008812
                  14,            0.051356,            0.032125,            0.024389,             0.59476,             0.40594,             0.39034,             0.15662,            0.048494,            0.026847,            0.025432,            0.008713,            0.008713,            0.008713
                  15,            0.049099,            0.032571,            0.022884,             0.60628,              0.4611,             0.38896,             0.18309,            0.044335,            0.027275,            0.024737,            0.008614,            0.008614,            0.008614
                  16,            0.046666,             0.03118,            0.023516,             0.54407,             0.45038,             0.44728,             0.19399,            0.047028,            0.027478,            0.024453,            0.008515,            0.008515,            0.008515
                  17,            0.047494,            0.031584,            0.021939,             0.68197,             0.37894,             0.41256,             0.19607,            0.044089,            0.027253,            0.023809,            0.008416,            0.008416,            0.008416
                  18,            0.046338,            0.031351,            0.022046,             0.61414,             0.40738,             0.40902,             0.19217,            0.043871,            0.028172,            0.023283,            0.008317,            0.008317,            0.008317
                  19,            0.045236,            0.031282,            0.020735,             0.76944,             0.39967,             0.45047,               0.209,            0.043416,            0.026668,            0.022616,            0.008218,            0.008218,            0.008218
                  20,            0.045283,            0.031162,            0.021059,             0.80742,             0.39147,             0.44634,             0.22766,            0.041695,            0.026778,            0.022602,            0.008119,            0.008119,            0.008119
                  21,            0.043931,            0.029097,            0.019524,             0.75208,             0.38171,             0.44267,             0.22185,            0.044896,            0.027361,            0.022199,             0.00802,             0.00802,             0.00802
                  22,            0.043244,            0.030396,            0.019707,             0.62625,             0.39485,             0.41174,             0.19696,            0.044506,            0.028197,            0.021851,            0.007921,            0.007921,            0.007921
                  23,            0.042862,            0.030644,            0.018648,             0.52386,             0.41871,             0.43128,             0.21882,            0.041412,            0.028776,            0.021824,            0.007822,            0.007822,            0.007822
                  24,            0.041791,            0.030593,            0.018407,             0.55471,             0.52851,               0.415,             0.19782,             0.04501,             0.02941,            0.022366,            0.007723,            0.007723,            0.007723
                  25,            0.041253,            0.028572,            0.019073,             0.52933,             0.50093,             0.43516,             0.23376,            0.041519,            0.028798,            0.021812,            0.007624,            0.007624,            0.007624
                  26,            0.040528,            0.028505,            0.018238,             0.60077,             0.40451,             0.44117,             0.22741,            0.042045,            0.028009,            0.021841,            0.007525,            0.007525,            0.007525
                  27,            0.041775,            0.028317,            0.017061,             0.56607,             0.44599,             0.41992,             0.22339,            0.040833,            0.029421,            0.021776,            0.007426,            0.007426,            0.007426
                  28,            0.039885,            0.028977,            0.018052,             0.56712,             0.45527,             0.44381,              0.2225,             0.04034,            0.029897,            0.021667,            0.007327,            0.007327,            0.007327
                  29,            0.039326,            0.028229,            0.017173,             0.55585,             0.47657,             0.44225,             0.25008,            0.038941,            0.030287,            0.021296,            0.007228,            0.007228,            0.007228
                  30,            0.039193,            0.029344,            0.017405,             0.55473,             0.48304,             0.47874,             0.26346,            0.042291,            0.030051,            0.021382,            0.007129,            0.007129,            0.007129
                  31,            0.038962,            0.029467,            0.018283,             0.52665,             0.43771,             0.46498,             0.26025,            0.039975,             0.03268,            0.021729,             0.00703,             0.00703,             0.00703
                  32,            0.038969,            0.027131,            0.016963,             0.52962,             0.45025,             0.46309,             0.22019,            0.044703,            0.032222,            0.021942,            0.006931,            0.006931,            0.006931
                  33,            0.038744,            0.027854,            0.015871,             0.55426,             0.47353,             0.50087,             0.27876,            0.038971,            0.029768,            0.020559,            0.006832,            0.006832,            0.006832
                  34,            0.038118,            0.027671,            0.016004,             0.86182,             0.36182,             0.47749,             0.23152,            0.041604,            0.029299,            0.019961,            0.006733,            0.006733,            0.006733
                  35,            0.037935,             0.02646,             0.01686,             0.56231,              0.4727,             0.49187,             0.26505,            0.039722,            0.029763,            0.020037,            0.006634,            0.006634,            0.006634
                  36,            0.037347,            0.026598,             0.01672,             0.58268,             0.45945,             0.47962,             0.27288,            0.041574,            0.031355,             0.02016,            0.006535,            0.006535,            0.006535
                  37,            0.037425,            0.025567,            0.016093,             0.59448,             0.47902,              0.5122,             0.27509,             0.03938,            0.030986,            0.019438,            0.006436,            0.006436,            0.006436
                  38,            0.036481,            0.026874,             0.01626,             0.59264,             0.48585,             0.49711,              0.2294,            0.042117,            0.031145,            0.019357,            0.006337,            0.006337,            0.006337
                  39,            0.035377,              0.0282,             0.01463,             0.59792,             0.43765,             0.49215,             0.26489,            0.038278,            0.031888,             0.01983,            0.006238,            0.006238,            0.006238
                  40,            0.034827,            0.025779,            0.015044,             0.76358,             0.43482,             0.52545,             0.27941,            0.041098,            0.032532,            0.019928,            0.006139,            0.006139,            0.006139
                  41,            0.036017,            0.026128,            0.014645,             0.77808,              0.4245,             0.51074,             0.29046,            0.038916,            0.032278,            0.019763,             0.00604,             0.00604,             0.00604
                  42,             0.03528,            0.027088,            0.014124,             0.67875,             0.45221,             0.48609,             0.24752,            0.042074,            0.031802,            0.019161,            0.005941,            0.005941,            0.005941
                  43,            0.034274,            0.026315,            0.015262,             0.78234,             0.43351,             0.55584,             0.33041,             0.03759,            0.032891,            0.019094,            0.005842,            0.005842,            0.005842
                  44,            0.034582,             0.02575,            0.014225,             0.59765,             0.47454,             0.48726,              0.2492,            0.041518,            0.032436,            0.018635,            0.005743,            0.005743,            0.005743
                  45,            0.033498,            0.025476,            0.014871,             0.59037,             0.45737,             0.57577,             0.33047,            0.037974,            0.032332,            0.018838,            0.005644,            0.005644,            0.005644
                  46,            0.032933,            0.025242,            0.013653,             0.53478,             0.50868,             0.54869,             0.27938,            0.042894,            0.032653,            0.019456,            0.005545,            0.005545,            0.005545
                  47,             0.03331,            0.025572,            0.014089,             0.73519,             0.49138,             0.59512,             0.34257,            0.038359,            0.031412,             0.01843,            0.005446,            0.005446,            0.005446
                  48,            0.032841,            0.025517,            0.013086,             0.71001,             0.50517,             0.63317,             0.32825,            0.041559,            0.030097,            0.017814,            0.005347,            0.005347,            0.005347
                  49,            0.033099,            0.025562,            0.012599,             0.69338,             0.52707,             0.64028,             0.36544,            0.037387,            0.029933,            0.017238,            0.005248,            0.005248,            0.005248
                  50,            0.031649,            0.024092,            0.013183,             0.65898,             0.45915,              0.5365,             0.26595,            0.042608,            0.032416,            0.017781,            0.005149,            0.005149,            0.005149
                  51,            0.032822,            0.024002,            0.013489,             0.77061,             0.45289,             0.52552,             0.30264,            0.037678,            0.033971,            0.018122,             0.00505,             0.00505,             0.00505
                  52,            0.031509,             0.02328,            0.012443,             0.68391,             0.46388,             0.54826,             0.29042,             0.04059,            0.031928,            0.017394,            0.004951,            0.004951,            0.004951
                  53,            0.032305,            0.025007,            0.012454,             0.67945,             0.47678,             0.59182,              0.3228,            0.037073,            0.032803,            0.017295,            0.004852,            0.004852,            0.004852
                  54,            0.031284,             0.02399,            0.012274,             0.68812,              0.4688,             0.54036,             0.27105,            0.040618,            0.033756,            0.017286,            0.004753,            0.004753,            0.004753
                  55,            0.030827,            0.022956,            0.013031,             0.86627,             0.44344,              0.5593,             0.31232,            0.037673,            0.034566,            0.017159,            0.004654,            0.004654,            0.004654
                  56,             0.03092,             0.02328,            0.011407,             0.86984,             0.43644,             0.55116,             0.29614,             0.03964,            0.034762,            0.017226,            0.004555,            0.004555,            0.004555
                  57,            0.031946,            0.024039,            0.011835,             0.69108,             0.51844,             0.57668,             0.32925,            0.037964,            0.034003,            0.017085,            0.004456,            0.004456,            0.004456
                  58,             0.03091,            0.024624,            0.011852,             0.79398,             0.46573,             0.55694,              0.2878,            0.040299,            0.033844,            0.016821,            0.004357,            0.004357,            0.004357
                  59,             0.03074,             0.02498,            0.011522,             0.73864,             0.44614,             0.54275,             0.31479,            0.037828,            0.034257,            0.016913,            0.004258,            0.004258,            0.004258
                  60,            0.030367,            0.024529,            0.011388,             0.54394,             0.49224,             0.51583,             0.26543,            0.040876,            0.034515,            0.017074,            0.004159,            0.004159,            0.004159
