               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10985,             0.05441,             0.08426,           0.0027007,            0.042731,           0.0035403,          0.00084308,            0.097823,            0.043713,            0.079339,              0.0829,              0.0019,              0.0019
                   1,            0.095245,            0.056701,             0.07421,             0.91302,            0.036963,             0.01944,           0.0056118,            0.085411,            0.041779,            0.065224,            0.064861,           0.0038614,           0.0038614
                   2,            0.086245,            0.049927,            0.059295,             0.80702,            0.034454,            0.020653,           0.0060605,            0.082032,            0.048034,            0.060409,            0.046783,           0.0057832,           0.0057832
                   3,            0.077408,            0.046525,            0.050376,             0.81165,            0.031667,            0.016424,            0.004972,            0.082479,            0.042704,            0.050879,            0.028665,           0.0076654,           0.0076654
                   4,            0.079761,            0.045301,            0.043642,             0.84581,             0.11049,            0.095856,            0.032653,            0.079149,            0.034745,            0.044625,            0.010508,            0.009508,            0.009508
                   5,            0.076804,            0.040072,            0.037805,             0.85023,             0.12825,             0.10222,            0.027906,            0.078489,            0.034191,            0.038846,            0.009505,            0.009505,            0.009505
                   6,            0.068807,            0.041999,            0.035825,              0.8314,             0.18128,             0.13042,            0.043423,            0.070419,            0.034403,            0.036088,            0.009505,            0.009505,            0.009505
