               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089203,            0.030052,            0.051061,             0.77582,            0.048611,            0.028116,           0.0076881,            0.076716,              0.0187,            0.037666,            0.070278,           0.0033025,           0.0033025
                   1,            0.060357,            0.024373,            0.035866,             0.82053,             0.12489,            0.086194,            0.034315,            0.061542,            0.015893,            0.027225,            0.040212,           0.0065701,           0.0065701
                   2,            0.055224,             0.01972,             0.03107,             0.56537,             0.31616,             0.18123,            0.062736,            0.054134,            0.013448,            0.022367,             0.01008,           0.0097717,           0.0097717
                   3,            0.047955,            0.015844,            0.025898,             0.41199,             0.47071,             0.37573,             0.14584,            0.045999,            0.011992,            0.019684,            0.009703,            0.009703,            0.009703
                   4,            0.041014,            0.014135,            0.021806,             0.52979,             0.50543,              0.5337,             0.22736,            0.045352,            0.012018,            0.016131,            0.009703,            0.009703,            0.009703
                   5,            0.038487,            0.013267,            0.018364,             0.44429,             0.78509,             0.61637,             0.26256,            0.043797,            0.011672,            0.013208,            0.009604,            0.009604,            0.009604
                   6,            0.035901,            0.012328,            0.015181,             0.42696,             0.82802,             0.62405,              0.2467,            0.044714,            0.010777,            0.012682,            0.009505,            0.009505,            0.009505
                   7,            0.033827,            0.012482,            0.013688,             0.64654,             0.60174,              0.6514,             0.31212,            0.038343,            0.011974,            0.010419,            0.009406,            0.009406,            0.009406
                   8,             0.03257,            0.011648,            0.011693,             0.70229,             0.68673,             0.73022,             0.30331,            0.039901,            0.010876,            0.011617,            0.009307,            0.009307,            0.009307
                   9,            0.032009,            0.011585,            0.010389,             0.54774,             0.78421,             0.68001,             0.34881,            0.036865,            0.010819,           0.0093609,            0.009208,            0.009208,            0.009208
                  10,            0.030088,            0.011235,           0.0088642,             0.69696,             0.82111,             0.79978,             0.37823,            0.037948,            0.010454,           0.0077346,            0.009109,            0.009109,            0.009109
                  11,            0.029744,            0.010777,           0.0093647,              0.7587,             0.80754,             0.81833,             0.41509,            0.037481,             0.01151,           0.0089919,             0.00901,             0.00901,             0.00901
                  12,            0.029439,            0.010886,           0.0076925,             0.64795,             0.89501,              0.7909,             0.35937,             0.03866,            0.010502,           0.0074046,            0.008911,            0.008911,            0.008911
                  13,            0.028267,            0.010554,           0.0069522,             0.78808,             0.83701,             0.84342,             0.40679,            0.038662,            0.010214,           0.0063342,            0.008812,            0.008812,            0.008812
                  14,            0.028157,            0.010947,           0.0072788,             0.75533,             0.82748,              0.8656,             0.43474,            0.035505,            0.010202,           0.0069392,            0.008713,            0.008713,            0.008713
                  15,            0.027747,            0.010509,           0.0064027,             0.76211,             0.86983,             0.84493,             0.43847,            0.034916,            0.010488,           0.0072469,            0.008614,            0.008614,            0.008614
                  16,            0.027011,            0.010058,            0.006344,             0.77408,             0.77471,             0.79894,             0.36465,            0.037941,            0.011437,           0.0077295,            0.008515,            0.008515,            0.008515
                  17,            0.026263,            0.010197,           0.0058952,              0.8091,             0.85705,             0.86618,             0.44289,            0.036409,              0.0107,            0.005466,            0.008416,            0.008416,            0.008416
                  18,            0.026224,            0.010416,           0.0053835,             0.75671,              0.9275,             0.87177,             0.40096,            0.036782,            0.010407,           0.0055154,            0.008317,            0.008317,            0.008317
                  19,            0.025901,            0.010276,           0.0049662,             0.81928,             0.89754,             0.88077,             0.44857,            0.035384,            0.010893,           0.0059979,            0.008218,            0.008218,            0.008218
                  20,            0.025427,           0.0099382,           0.0048783,             0.78628,             0.89771,             0.87071,             0.44005,            0.035852,            0.010313,           0.0060023,            0.008119,            0.008119,            0.008119
                  21,            0.024738,           0.0095774,           0.0053514,             0.88338,             0.87724,             0.87238,              0.4576,            0.035393,            0.010961,           0.0054192,             0.00802,             0.00802,             0.00802
                  22,            0.024527,           0.0099015,           0.0044768,             0.81559,             0.90551,             0.87828,             0.45349,            0.033715,            0.010248,           0.0050548,            0.007921,            0.007921,            0.007921
                  23,            0.024029,           0.0098995,            0.004683,             0.79307,             0.88975,              0.8725,             0.43995,            0.034141,            0.010737,           0.0064104,            0.007822,            0.007822,            0.007822
                  24,            0.024056,           0.0095604,           0.0044647,             0.79393,             0.88892,             0.85077,             0.44396,            0.035011,            0.010058,           0.0055818,            0.007723,            0.007723,            0.007723
                  25,            0.023703,           0.0097204,           0.0045004,             0.78271,             0.89826,             0.85393,             0.42633,             0.03403,            0.010482,           0.0070259,            0.007624,            0.007624,            0.007624
                  26,             0.02397,           0.0094909,           0.0040729,             0.80269,             0.85644,             0.86882,             0.45463,            0.033003,           0.0098879,           0.0049539,            0.007525,            0.007525,            0.007525
                  27,            0.022874,           0.0093568,           0.0038862,             0.79408,             0.90443,              0.8538,             0.46808,            0.033987,              0.0106,           0.0061546,            0.007426,            0.007426,            0.007426
                  28,            0.022322,           0.0092248,           0.0036408,             0.84231,             0.91184,             0.88401,             0.47783,            0.032382,            0.010544,           0.0057814,            0.007327,            0.007327,            0.007327
