               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.095604,            0.077575,            0.046604,             0.00125,              0.1875,           0.0060441,           0.0015283,            0.088275,            0.068081,              0.0474,            0.031698,           0.0046983,           0.0046983
                  37,            0.094428,            0.085049,            0.046481,             0.00125,              0.1875,           0.0061066,           0.0015408,            0.087945,            0.068325,            0.047362,            0.029753,           0.0047528,           0.0047528
                  38,            0.096332,            0.094748,            0.046305,             0.00125,              0.1875,           0.0061706,           0.0015465,            0.087642,            0.068558,             0.04732,            0.027803,           0.0048033,           0.0048033
                  39,            0.095479,            0.082894,            0.046068,             0.00125,              0.1875,           0.0061706,           0.0015465,            0.087642,            0.068558,             0.04732,             0.02585,           0.0048498,           0.0048498
                  40,            0.093816,            0.091217,            0.045873,             0.00125,              0.1875,           0.0061706,           0.0015432,            0.087331,            0.068802,            0.047276,            0.023892,           0.0048924,           0.0048924
                  41,            0.091671,             0.08432,            0.045882,             0.00125,              0.1875,           0.0062359,           0.0015562,            0.087021,            0.069038,            0.047231,            0.021931,            0.004931,            0.004931
                  42,            0.094604,              0.1005,            0.045751,             0.00125,              0.1875,           0.0062359,           0.0015562,            0.087021,            0.069038,            0.047231,            0.019966,           0.0049657,           0.0049657
                  43,            0.091864,            0.077442,            0.045706,             0.00125,              0.1875,           0.0062359,           0.0015562,            0.086726,             0.06926,            0.047179,            0.017996,           0.0049964,           0.0049964
                  44,            0.095448,            0.079079,            0.045603,             0.00125,              0.1875,           0.0062359,           0.0015562,            0.086726,             0.06926,            0.047179,            0.016023,           0.0050232,           0.0050232
                  45,            0.092332,            0.088835,            0.045517,             0.00125,              0.1875,           0.0060441,           0.0015113,            0.086435,            0.069479,            0.047124,            0.014046,            0.005046,            0.005046
                  46,             0.09445,            0.074842,            0.045353,             0.00125,              0.1875,           0.0060441,           0.0015113,            0.086435,            0.069479,            0.047124,            0.012065,           0.0050648,           0.0050648
                  47,            0.091645,            0.090199,            0.045308,             0.00125,              0.1875,           0.0059828,           0.0014928,            0.086176,            0.069666,            0.047066,             0.01008,           0.0050797,           0.0050797
                  48,            0.094479,            0.078503,            0.044922,             0.00125,              0.1875,           0.0059828,           0.0014928,            0.086176,            0.069666,            0.047066,           0.0080906,           0.0050906,           0.0050906
                  49,            0.093399,             0.10178,            0.045134,             0.00125,              0.1875,           0.0059228,           0.0014839,            0.085914,            0.069851,            0.047002,           0.0060975,           0.0050975,           0.0050975
                  50,            0.093025,            0.079888,            0.045126,             0.00125,              0.1875,           0.0059228,           0.0014839,            0.085914,            0.069851,            0.047002,             0.00505,             0.00505,             0.00505
                  51,            0.095087,             0.12297,            0.045272,             0.00125,              0.1875,           0.0053361,           0.0013575,            0.085643,            0.070031,             0.04693,             0.00505,             0.00505,             0.00505
                  52,              0.0947,            0.088769,            0.044861,             0.00125,              0.1875,           0.0053361,           0.0013575,            0.085643,            0.070031,             0.04693,            0.004951,            0.004951,            0.004951
                  53,            0.093907,            0.085433,            0.044829,             0.00125,              0.1875,           0.0048579,           0.0012331,            0.085413,            0.070172,             0.04685,            0.004852,            0.004852,            0.004852
                  54,            0.092539,            0.089121,            0.044756,             0.00125,              0.1875,           0.0048579,           0.0012331,            0.085413,            0.070172,             0.04685,            0.004753,            0.004753,            0.004753
                  55,            0.091959,            0.073897,            0.044142,             0.00125,              0.1875,           0.0044278,           0.0011425,            0.085233,            0.070269,            0.046751,            0.004654,            0.004654,            0.004654
                  56,            0.093682,            0.083778,            0.044775,             0.00125,              0.1875,           0.0044278,           0.0011425,            0.085233,            0.070269,            0.046751,            0.004555,            0.004555,            0.004555
                  57,            0.095619,            0.072616,            0.043841,             0.00125,              0.1875,           0.0037673,            0.001006,            0.085142,            0.070295,            0.046632,            0.004456,            0.004456,            0.004456
                  58,            0.093457,            0.099151,            0.044205,             0.00125,              0.1875,           0.0037673,            0.001006,            0.085142,            0.070295,            0.046632,            0.004357,            0.004357,            0.004357
                  59,            0.092083,            0.080269,            0.044101,             0.00125,              0.1875,           0.0034499,          0.00093221,            0.085022,            0.070333,            0.046497,            0.004258,            0.004258,            0.004258
                  60,            0.090953,            0.087102,            0.044103,             0.00125,              0.1875,           0.0034499,          0.00093221,            0.085022,            0.070333,            0.046497,            0.004159,            0.004159,            0.004159
                  61,            0.092951,            0.091378,            0.044193,             0.00125,              0.1875,           0.0031941,          0.00086805,            0.084862,            0.070377,            0.046326,             0.00406,             0.00406,             0.00406
                  62,            0.094025,            0.064108,             0.04333,             0.00125,              0.1875,           0.0031941,          0.00086805,            0.084862,            0.070377,            0.046326,            0.003961,            0.003961,            0.003961
                  63,            0.092929,            0.098864,            0.043991,             0.00125,              0.1875,           0.0027702,          0.00075727,            0.084718,             0.07039,            0.046101,            0.003862,            0.003862,            0.003862
                  64,            0.090963,            0.081839,            0.044263,             0.00125,              0.1875,           0.0027702,          0.00075727,            0.084718,             0.07039,            0.046101,            0.003763,            0.003763,            0.003763
                  65,            0.090618,            0.066962,            0.043305,             0.00125,              0.1875,           0.0023537,          0.00064668,            0.084434,             0.07045,            0.045776,            0.003664,            0.003664,            0.003664
                  66,            0.092415,            0.075978,             0.04224,             0.00125,              0.1875,           0.0023537,          0.00064668,            0.084434,             0.07045,            0.045776,            0.003565,            0.003565,            0.003565
                  67,            0.093416,            0.083932,            0.043098,             0.00125,              0.1875,           0.0021497,          0.00059509,            0.084088,            0.070477,            0.045389,            0.003466,            0.003466,            0.003466
                  68,            0.090831,            0.086462,             0.04249,             0.00125,              0.1875,           0.0021497,          0.00059509,            0.084088,            0.070477,            0.045389,            0.003367,            0.003367,            0.003367
                  69,            0.089681,            0.074504,            0.042501,             0.00125,              0.1875,           0.0021239,          0.00047267,            0.083557,            0.070468,            0.044865,            0.003268,            0.003268,            0.003268
                  70,            0.091151,            0.074474,            0.042688,             0.00125,              0.1875,           0.0021239,          0.00047267,            0.083557,            0.070468,            0.044865,            0.003169,            0.003169,            0.003169
                  71,            0.092917,            0.072046,            0.043156,             0.00125,              0.1875,           0.0023893,          0.00052231,            0.082756,            0.070412,            0.044214,             0.00307,             0.00307,             0.00307
                  72,            0.091071,             0.10553,            0.042993,             0.00125,              0.1875,           0.0023893,          0.00052231,            0.082756,            0.070412,            0.044214,            0.002971,            0.002971,            0.002971
                  73,            0.090611,             0.08719,             0.04202,           0.0012542,              0.1875,           0.0021507,          0.00046625,            0.081869,            0.070293,            0.043503,            0.002872,            0.002872,            0.002872
                  74,            0.091746,            0.082368,            0.042363,           0.0012542,              0.1875,           0.0021507,          0.00046625,            0.081869,            0.070293,            0.043503,            0.002773,            0.002773,            0.002773
                  75,            0.091069,            0.070923,            0.041598,             0.12584,               0.275,             0.10218,            0.025492,            0.081068,            0.070148,            0.042836,            0.002674,            0.002674,            0.002674
                  76,            0.093043,             0.11407,            0.042743,             0.12584,               0.275,             0.10218,            0.025492,            0.081068,            0.070148,            0.042836,            0.002575,            0.002575,            0.002575
                  77,            0.090748,            0.074321,            0.041093,            0.062231,                0.45,             0.10995,            0.028482,            0.080092,            0.069751,            0.042037,            0.002476,            0.002476,            0.002476
                  78,            0.091302,             0.10128,            0.040413,            0.062231,                0.45,             0.10995,            0.028482,            0.080092,            0.069751,            0.042037,            0.002377,            0.002377,            0.002377
                  79,            0.092845,            0.080922,            0.040566,            0.040864,                0.45,            0.074125,            0.022522,            0.080013,            0.069135,            0.041528,            0.002278,            0.002278,            0.002278
                  80,            0.090299,            0.076678,            0.041084,            0.040864,                0.45,            0.074125,            0.022522,            0.080013,            0.069135,            0.041528,            0.002179,            0.002179,            0.002179
                  81,            0.089245,            0.070189,            0.040248,            0.030828,               0.575,             0.12613,            0.025541,            0.079321,            0.068594,            0.040747,             0.00208,             0.00208,             0.00208
                  82,            0.091306,            0.080272,            0.041085,            0.030828,               0.575,             0.12613,            0.025541,            0.079321,            0.068594,            0.040747,            0.001981,            0.001981,            0.001981
                  83,            0.093367,            0.085395,            0.040055,             0.30999,               0.275,             0.18763,            0.048856,            0.078664,            0.067875,            0.039892,            0.001882,            0.001882,            0.001882
                  84,              0.0909,            0.081024,            0.040409,             0.30999,               0.275,             0.18763,            0.048856,            0.078664,            0.067875,            0.039892,            0.001783,            0.001783,            0.001783
                  85,            0.090245,            0.086027,            0.040371,             0.59942,               0.275,             0.18816,            0.046293,            0.078313,            0.067376,            0.039393,            0.001684,            0.001684,            0.001684
                  86,            0.092217,             0.09063,            0.040271,             0.59942,               0.275,             0.18816,            0.046293,            0.078313,            0.067376,            0.039393,            0.001585,            0.001585,            0.001585
                  87,            0.091842,            0.082128,            0.040355,             0.55796,               0.125,             0.14585,            0.048199,            0.077875,            0.066773,            0.038827,            0.001486,            0.001486,            0.001486
                  88,             0.08902,            0.072132,            0.039354,             0.55796,               0.125,             0.14585,            0.048199,            0.077875,            0.066773,            0.038827,            0.001387,            0.001387,            0.001387
                  89,            0.090233,            0.059107,            0.039672,             0.59715,                0.25,             0.15591,            0.047898,            0.077848,            0.066214,            0.038436,            0.001288,            0.001288,            0.001288
                  90,            0.088649,            0.073844,            0.040393,             0.59715,                0.25,             0.15591,            0.047898,            0.077848,            0.066214,            0.038436,            0.001189,            0.001189,            0.001189
                  91,            0.091476,            0.087913,            0.040685,             0.63539,                0.25,             0.24697,            0.055148,            0.077756,            0.065927,            0.038135,             0.00109,             0.00109,             0.00109
                  92,              0.0899,            0.071643,            0.039199,             0.63539,                0.25,             0.24697,            0.055148,            0.077756,            0.065927,            0.038135,            0.000991,            0.000991,            0.000991
                  93,            0.090781,            0.088922,             0.04042,             0.63014,             0.25279,             0.25223,            0.070577,            0.077715,            0.065658,            0.037948,            0.000892,            0.000892,            0.000892
                  94,            0.089974,            0.082156,            0.040638,             0.63014,             0.25279,             0.25223,            0.070577,            0.077715,            0.065658,            0.037948,            0.000793,            0.000793,            0.000793
                  95,            0.092801,             0.10141,            0.040005,             0.62839,                0.25,             0.24283,            0.092504,            0.077664,            0.065337,            0.037713,            0.000694,            0.000694,            0.000694
                  96,            0.093925,             0.10896,            0.040391,             0.62839,                0.25,             0.24283,            0.092504,            0.077664,            0.065337,            0.037713,            0.000595,            0.000595,            0.000595
                  97,            0.088341,            0.092427,            0.039269,             0.63047,                0.25,             0.24755,             0.11002,            0.077509,            0.065044,            0.037493,            0.000496,            0.000496,            0.000496
                  98,            0.090975,            0.063801,             0.03992,             0.63047,                0.25,             0.24755,             0.11002,            0.077509,            0.065044,            0.037493,            0.000397,            0.000397,            0.000397
                  99,            0.090744,            0.080272,            0.040431,             0.66591,             0.24773,             0.24758,             0.11471,             0.07746,            0.064905,            0.037363,            0.000298,            0.000298,            0.000298
