               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11842,            0.069554,            0.052271,          0.00092593,               0.125,           0.0011394,          0.00022788,             0.12032,            0.047907,            0.053829,              0.0991,              0.0001,              0.0001
                   1,             0.11851,            0.059207,            0.051779,          0.00094697,               0.125,           0.0009825,          0.00029475,             0.12017,            0.047701,            0.053513,            0.097297,          0.00029703,          0.00029703
                   2,             0.11644,            0.069223,            0.051076,          0.00095785,               0.125,          0.00092795,          0.00037118,             0.11966,            0.047475,            0.052992,             0.09549,           0.0004901,           0.0004901
                   3,             0.11689,            0.061199,             0.05211,          0.00097656,               0.125,          0.00094818,          0.00037927,             0.11834,            0.047616,            0.052329,            0.093679,          0.00067921,          0.00067921
                   4,             0.11275,            0.065412,            0.051609,          0.00099206,               0.125,           0.0010725,          0.00042901,             0.11616,            0.048177,            0.051458,            0.091864,          0.00086436,          0.00086436
                   5,             0.11337,            0.062879,            0.050243,           0.0020161,                0.25,           0.0049052,           0.0006229,             0.11338,            0.049116,            0.050453,            0.090046,           0.0010455,           0.0010455
                   6,             0.11224,            0.072352,             0.05076,               0.002,                0.25,           0.0071119,          0.00071119,             0.10955,            0.050772,            0.049185,            0.088223,           0.0012228,           0.0012228
                   7,             0.10993,            0.072147,            0.049188,           0.0019305,                0.25,            0.009667,           0.0014863,             0.10529,            0.052787,            0.047906,            0.086396,            0.001396,            0.001396
                   8,             0.10658,            0.064035,            0.048727,           0.0035997,                 0.3,            0.011186,           0.0020111,             0.10274,            0.054037,            0.047147,            0.084565,           0.0015654,           0.0015654
                   9,             0.10249,            0.064126,            0.048996,           0.0036066,                 0.3,            0.011745,           0.0020645,             0.10006,            0.055283,            0.046127,            0.082731,           0.0017307,           0.0017307
                  10,             0.10249,            0.081849,             0.04705,           0.0036332,                 0.3,            0.014224,           0.0016333,            0.096897,            0.056907,            0.044972,            0.080892,           0.0018921,           0.0018921
                  11,             0.10253,             0.07549,            0.046685,           0.0026844,               0.175,            0.011152,           0.0016426,            0.093958,            0.058329,            0.043825,             0.07905,           0.0020495,           0.0020495
                  12,             0.10086,            0.077721,            0.046081,           0.0061755,              0.3625,            0.013519,           0.0040979,            0.090986,            0.059553,            0.042366,            0.077203,            0.002203,            0.002203
                  13,             0.10145,            0.069722,            0.044673,            0.014059,              0.5875,            0.076493,            0.012063,            0.088421,            0.060268,            0.040901,            0.075353,           0.0023525,           0.0023525
                  14,             0.10147,            0.090445,             0.04415,            0.013956,              0.5875,             0.11572,            0.027642,            0.086846,            0.059996,            0.039361,            0.073498,           0.0024981,           0.0024981
                  15,            0.098924,            0.086215,            0.043661,            0.015526,              0.6375,              0.1314,            0.032491,            0.086268,            0.058836,            0.037853,             0.07164,           0.0026396,           0.0026396
                  16,            0.094945,            0.072737,            0.041327,             0.11063,             0.15698,             0.16411,            0.050454,            0.085276,            0.057165,            0.036392,            0.069777,           0.0027773,           0.0027773
                  17,            0.095945,            0.066716,             0.03995,             0.44937,             0.14713,             0.24444,             0.07809,            0.084502,            0.055287,            0.035154,            0.067911,           0.0029109,           0.0029109
                  18,            0.091778,            0.062391,            0.038383,              0.4844,               0.275,             0.31993,            0.095512,            0.082608,            0.054012,            0.034058,            0.066041,           0.0030407,           0.0030407
                  19,            0.091926,            0.069095,            0.040513,             0.45237,               0.275,             0.35968,              0.1221,            0.081219,            0.052001,            0.032951,            0.064166,           0.0031664,           0.0031664
                  20,            0.093382,            0.093385,            0.037743,             0.25486,               0.525,             0.46775,             0.16523,            0.080331,            0.049906,            0.031875,            0.062288,           0.0032882,           0.0032882
                  21,             0.08761,            0.073348,            0.037121,             0.31675,             0.53935,             0.53914,              0.1995,            0.078544,            0.049069,            0.030802,            0.060406,            0.003406,            0.003406
                  22,            0.087977,             0.07679,            0.035818,             0.44449,             0.75336,             0.58836,             0.21927,            0.075692,            0.049218,            0.029896,             0.05852,           0.0035199,           0.0035199
                  23,            0.085812,            0.078522,             0.03471,             0.45204,             0.78743,             0.72127,             0.23568,            0.077739,            0.049001,            0.029138,             0.05663,           0.0036298,           0.0036298
                  24,            0.087662,            0.067585,            0.032853,             0.68327,             0.49982,             0.58535,             0.17284,            0.077497,            0.051062,            0.028291,            0.054736,           0.0037358,           0.0037358
                  25,            0.085315,            0.064508,            0.033966,             0.45345,             0.75261,             0.67581,             0.25046,            0.074231,             0.05149,            0.027443,            0.052838,           0.0038378,           0.0038378
                  26,             0.07918,            0.061162,            0.032023,             0.27832,              0.4625,             0.25398,            0.085072,            0.088602,            0.057813,            0.026574,            0.050936,           0.0039358,           0.0039358
                  27,            0.088954,            0.076585,            0.032623,             0.27832,              0.4625,             0.25398,            0.085072,            0.088602,            0.057813,            0.026574,             0.04903,           0.0040299,           0.0040299
                  28,            0.081113,            0.051464,            0.032369,             0.46509,              0.8364,             0.59327,             0.23926,            0.074794,            0.050287,            0.025236,             0.04712,             0.00412,             0.00412
                  29,            0.076869,            0.058255,            0.028924,             0.24173,             0.56016,             0.47431,             0.14229,            0.090125,            0.050898,            0.023905,            0.045206,           0.0042061,           0.0042061
                  30,            0.086883,            0.056072,            0.028252,             0.24173,             0.56016,             0.47431,             0.14229,            0.090125,            0.050898,            0.023905,            0.043288,           0.0042883,           0.0042883
                  31,            0.084489,            0.053564,            0.026242,             0.62913,             0.71674,             0.76216,             0.30299,            0.075091,            0.049048,            0.022586,            0.041367,           0.0043665,           0.0043665
                  32,            0.080682,            0.064096,            0.026143,              0.4449,              0.6255,             0.52965,             0.21959,            0.087947,            0.051563,            0.021246,            0.039441,           0.0044408,           0.0044408
                  33,            0.085131,            0.055858,            0.026005,              0.4449,              0.6255,             0.52965,             0.21959,            0.087947,            0.051563,            0.021246,            0.037511,           0.0045111,           0.0045111
